time,system_size,queue_length
357.7361861802089,19,18
357.7361861802089,19,17
358.003736249292,20,18
358.6067135999644,19,18
358.6067135999644,19,17
358.62092546448014,20,18
358.832273748748,21,19
358.86084976914515,20,19
358.86084976914515,20,18
359.28235026700963,21,19
359.3712028397647,20,19
359.3712028397647,20,18
360.2338729123143,19,18
360.2338729123143,19,17
361.3320586837481,20,18
361.47727926888257,21,19
361.87699793879165,22,20
362.6091420978296,21,20
362.6091420978296,21,19
363.0144642141377,22,20
363.07632235085765,21,20
363.07632235085765,21,19
363.39260695673056,22,20
364.35167619385777,23,21
364.8635684506488,24,22
365.7527701733081,25,23
366.728749341214,24,23
366.728749341214,24,22
366.92038196969787,25,23
367.1390985629765,26,24
367.280270352781,27,25
368.49329577001055,28,26
368.6512666213415,29,27
369.4737228015801,28,27
369.4737228015801,28,26
370.90546139236,29,27
371.18805178634705,30,28
371.69128048117994,29,28
371.69128048117994,29,27
371.7056808990616,28,27
371.7056808990616,28,26
371.9481351102215,27,26
371.9481351102215,27,25
372.0877243631002,26,25
372.0877243631002,26,24
372.97210035275583,25,24
372.97210035275583,25,23
373.9162031938242,24,23
373.9162031938242,24,22
374.1800893812702,23,22
374.1800893812702,23,21
374.2841807740096,22,21
374.2841807740096,22,20
374.61809978227967,23,21
374.8875488744143,24,22
375.5187619278786,25,23
375.5542162768073,26,24
375.81011550994435,27,25
375.9960399741035,28,26
376.2063220114732,29,27
376.95114487402844,30,28
378.7026022413134,31,29
379.69703253548886,32,30
379.88283272461956,31,30
379.88283272461956,31,29
381.5121441470403,32,30
382.4920918594003,33,31
383.44841478833877,32,31
383.44841478833877,32,30
384.1733306165027,33,31
384.2063654077174,34,32
384.4049997075698,33,32
384.4049997075698,33,31
384.84549834758997,34,32
385.0259321759196,33,32
385.0259321759196,33,31
387.14126155165343,34,32
387.1967848163254,33,32
387.1967848163254,33,31
387.7016048074457,32,31
387.7016048074457,32,30
389.3777786071883,33,31
389.63167007787996,34,32
390.18501206760266,35,33
390.1949339823525,36,34
390.4441394549146,35,34
390.4441394549146,35,33
390.5889758845093,36,34
391.8240791041582,37,35
392.00272747689166,36,35
392.00272747689166,36,34
392.06232562633346,35,34
392.06232562633346,35,33
392.09418177202775,36,34
393.86079296059125,37,35
394.63523277022,38,36
395.81629207618386,39,37
396.89319498389676,38,37
396.89319498389676,38,36
396.9732188022675,39,37
397.6101959346654,38,37
397.6101959346654,38,36
398.0089356307147,39,37
399.9024219471318,40,38
400.17284475150655,39,38
400.17284475150655,39,37
400.6570535175872,40,38
400.79055972562395,39,38
400.79055972562395,39,37
401.00393923905574,38,37
401.00393923905574,38,36
401.66145447768787,39,37
401.8550824745102,38,37
401.8550824745102,38,36
402.23290654322034,37,36
402.23290654322034,37,35
402.4219614434755,38,36
403.08502817813786,39,37
403.37982812263425,38,37
403.37982812263425,38,36
403.3870652472949,39,37
404.06658346476524,38,37
404.06658346476524,38,36
404.36551721496824,37,36
404.36551721496824,37,35
404.5557021645736,36,35
404.5557021645736,36,34
405.09099278190746,35,34
405.09099278190746,35,33
405.7743184627667,34,33
405.7743184627667,34,32
406.01806833035783,33,32
406.01806833035783,33,31
407.24696310253415,32,31
407.24696310253415,32,30
407.48620501440786,31,30
407.48620501440786,31,29
407.74960311328584,30,29
407.74960311328584,30,28
408.5012627982888,31,29
408.55268827688343,32,30
409.4261592132706,33,31
409.70913311966973,32,31
409.70913311966973,32,30
410.22719378430213,33,31
410.75723839657763,32,31
410.75723839657763,32,30
411.15550482108176,33,31
412.7361411967728,32,31
412.7361411967728,32,30
412.9668022641766,33,31
413.6898758188474,34,32
414.07302203746667,35,33
414.2525337642794,34,33
414.2525337642794,34,32
414.3197329480705,33,32
414.3197329480705,33,31
415.54387205591905,34,32
417.07708830498404,33,32
417.07708830498404,33,31
417.42588725195657,34,32
417.49247206476906,33,32
417.49247206476906,33,31
418.30232419986305,32,31
418.30232419986305,32,30
419.2471605729593,33,31
419.44464381578547,34,32
419.6032717092176,33,32
419.6032717092176,33,31
420.9764371243975,32,31
420.9764371243975,32,30
421.41478413235177,31,30
421.41478413235177,31,29
421.9810775897255,30,29
421.9810775897255,30,28
423.60893440437917,29,28
423.60893440437917,29,27
424.04081569939467,28,27
424.04081569939467,28,26
424.90685430074177,29,27
425.40711951646887,28,27
425.40711951646887,28,26
425.58907191595455,27,26
425.58907191595455,27,25
426.5257592264499,26,25
426.5257592264499,26,24
426.65743650953146,27,25
427.5120205060214,26,25
427.5120205060214,26,24
427.6390151516013,25,24
427.6390151516013,25,23
427.8844665547446,26,24
428.20102462844534,27,25
428.7392052339556,26,25
428.7392052339556,26,24
429.1067737107659,25,24
429.1067737107659,25,23
429.1592221809579,24,23
429.1592221809579,24,22
429.41117097367504,23,22
429.41117097367504,23,21
429.46260494611755,24,22
429.4693743468409,25,23
429.7062827555927,26,24
429.7214114400683,25,24
429.7214114400683,25,23
430.6022017827137,26,24
431.4716122657024,25,24
431.4716122657024,25,23
432.59585691575006,24,23
432.59585691575006,24,22
432.78656175427795,25,23
432.7961655904534,26,24
433.53774835174426,25,24
433.53774835174426,25,23
433.6752396049039,24,23
433.6752396049039,24,22
434.7775040170651,23,22
434.7775040170651,23,21
434.77854168175895,22,21
434.77854168175895,22,20
435.98925727960113,21,20
435.98925727960113,21,19
436.06640753979883,22,20
436.4166898372825,21,20
436.4166898372825,21,19
437.68943214924883,22,20
438.2813693019231,21,20
438.2813693019231,21,19
438.5501851358913,20,19
438.5501851358913,20,18
438.6446600732953,19,18
438.6446600732953,19,17
438.6874049161261,20,18
439.2592514242807,21,19
439.2904884866341,22,20
441.54193615276864,21,20
441.54193615276864,21,19
441.56031700489785,22,20
442.5094455938892,21,20
442.5094455938892,21,19
442.62544757234826,20,19
442.62544757234826,20,18
442.65154246025367,21,19
442.7869841946188,20,19
442.7869841946188,20,18
442.7993294891905,19,18
442.7993294891905,19,17
443.1881625203619,18,17
443.1881625203619,18,16
443.7288250594254,17,16
443.7288250594254,17,15
444.16346600721073,18,16
445.26397669783205,17,16
445.26397669783205,17,15
446.26921312636546,18,16
446.2881127765375,19,17
446.60478924022823,20,18
447.4566734437174,19,18
447.4566734437174,19,17
448.46738409977826,20,18
448.88834711298057,19,18
448.88834711298057,19,17
450.7230745616555,20,18
451.69188292231473,21,19
451.74377902006444,20,19
451.74377902006444,20,18
451.7541967330797,19,18
451.7541967330797,19,17
452.3604978706373,18,17
452.3604978706373,18,16
452.63294024719494,19,17
452.72908230553645,18,17
452.72908230553645,18,16
452.9500076817683,17,16
452.9500076817683,17,15
453.79173449016827,16,15
453.79173449016827,16,14
454.52633403931776,15,14
454.52633403931776,15,13
454.5517447276787,16,14
454.62610226128584,15,14
454.62610226128584,15,13
454.6543173811154,14,13
454.6543173811154,14,12
454.81255646032207,15,13
455.653913422217,16,14
455.79061521139556,17,15
455.8976279652888,18,16
455.9449678460178,19,17
456.0497994541199,20,18
456.588911448824,19,18
456.588911448824,19,17
456.6428212839336,18,17
456.6428212839336,18,16
456.7353821041122,17,16
456.7353821041122,17,15
456.89894582861314,18,16
457.72324364329285,17,16
457.72324364329285,17,15
458.51027233536405,16,15
458.51027233536405,16,14
458.81122387939627,17,15
458.9393567313339,18,16
459.2618104626962,19,17
460.4614633506069,18,17
460.4614633506069,18,16
461.78889837659233,17,16
461.78889837659233,17,15
462.2052059454728,18,16
462.83921725922767,19,17
463.82461998073626,18,17
463.82461998073626,18,16
464.05397415920663,17,16
464.05397415920663,17,15
464.05660324310975,18,16
464.10669520117744,19,17
464.113690043829,18,17
464.113690043829,18,16
464.33934216800225,17,16
464.33934216800225,17,15
465.4420509132543,18,16
466.4872064237536,19,17
466.8921513472634,18,17
466.8921513472634,18,16
467.30847103239455,17,16
467.30847103239455,17,15
468.20727747818063,16,15
468.20727747818063,16,14
468.26488930657973,17,15
468.69492204596605,18,16
469.2297825260707,17,16
469.2297825260707,17,15
469.934769239728,18,16
470.2768045859865,19,17
470.41526700664144,18,17
