t,S,I,R
29.73599059026048,276,34,690
29.936306144248,276,33,691
30.10481012774639,276,32,692
30.14437093255347,275,33,692
30.339305633445623,275,32,693
30.34382672951365,275,31,694
30.37214900009116,275,30,695
30.38867985978621,275,29,696
30.449305417704306,275,28,697
30.507168600416172,275,27,698
30.62620784199363,274,28,698
30.703381015482442,274,27,699
30.73694314542562,273,28,699
30.758259273334847,273,27,700
30.807249497916523,273,26,701
30.869785695389044,272,27,701
31.214534459819056,272,26,702
31.341001768465542,272,25,703
31.431073322966572,271,26,703
31.567995777397208,271,25,704
31.64063481892716,270,26,704
31.782466394059696,269,27,704
32.143877575674395,269,26,705
32.19163782153011,268,27,705
32.22688267173307,267,28,705
32.72244257739466,266,29,705
32.7883888617942,265,30,705
32.876712014732625,264,31,705
33.149094379543165,264,30,706
33.18175016298581,264,29,707
33.19604382410746,264,28,708
33.39439048467841,264,27,709
33.523166431449994,263,28,709
33.56752235488442,263,27,710
33.658072560698024,263,26,711
33.691528575912706,262,27,711
33.83708170484421,261,28,711
33.91302650453644,260,29,711
34.042377117970034,260,28,712
34.15891560225341,259,29,712
34.20620779660777,258,30,712
34.21259384891846,258,29,713
34.3186013203346,258,28,714
34.37483511154198,258,27,715
34.4083958995853,258,26,716
34.487393618726124,258,25,717
34.52221506409761,257,26,717
34.54937110238758,257,25,718
34.57092592303643,257,24,719
34.65718214476693,257,23,720
34.882548849738754,256,24,720
35.008611473424864,255,25,720
35.065159361193174,255,24,721
35.14192889086172,255,23,722
35.16024920417044,255,22,723
35.19653920497088,255,21,724
35.55573263938201,254,22,724
35.5630336830951,253,23,724
35.69566931697329,253,22,725
35.82097702701957,253,21,726
36.4761574431615,253,20,727
36.625915354827605,252,21,727
36.72414233815346,251,22,727
36.816262022139156,251,21,728
36.85193997541866,251,20,729
36.852750897795694,251,19,730
36.924237796600096,251,18,731
37.07791818291173,250,19,731
37.09285894058023,250,18,732
37.21625521643409,250,17,733
37.28622469151803,250,16,734
37.52627872450451,249,17,734
37.912916537620475,249,16,735
38.31582079307559,249,15,736
38.31792333229973,248,16,736
38.56866610115548,248,15,737
38.81829841488637,248,14,738
38.88773873812914,248,13,739
38.89738881033317,248,12,740
38.91228789455457,248,11,741
39.02452714391191,248,10,742
39.06276897894832,248,9,743
39.31874703099255,248,8,744
39.918871024622774,248,7,745
